
161;105.8;17;5;cshezi;;
159;102.6;14;5;cshezi;;
161;106.8;14;5;cshezi;2024-01-16T12:34:40Z;99
171;113;16;5;cshezi;2024-01-16T12:38:38Z;99
149;101.6;14;5;cshezi;2024-01-16T13:04:32Z;99
163;101.8;14;5;cshezi;2024-01-17T07:11:04Z;101
165;105.8;15;5;cshezi;2024-01-17T07:35:28Z;100
165;105.8;15;5;cshezi;2024-01-17T07:35:28Z;100
165;105.8;15;5;cshezi;2024-01-17T07:35:28Z;100
159;103;14;5;rtkay123;2024-01-26T10:06:03Z;113
159;103;14;5;rtkay123;2024-01-26T10:06:03Z;113
159;103;14;5;rtkay123;2024-01-26T10:06:03Z;113
159;103;14;5;rtkay123;2024-01-26T10:06:03Z;113
159;103;14;5;rtkay123;2024-01-26T10:06:03Z;113
